"time","device_id","lat","lng","accuracy","activity_1","activity_1_conf","activity_2","activity_2_conf","activity_3","activity_3_conf"
"2016-08-26 09:00:00.206",2,60.186805,24.821049,33.6080017089844,"STILL",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:00:05.428",5,60.192928,24.767222,5,"WALKING",62,"ON_BICYCLE",29,"RUNNING",6
"2016-08-26 09:00:05.818",1,60.166382,24.700443,3,"WALKING",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:00:15.816",1,60.166254,24.700671,3,"WALKING",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:00:16.413",5,60.193055,24.767427,5,"WALKING",85,"ON_BICYCLE",15,"UNKNOWN",0
"2016-08-26 09:00:20.578",3,60.152996,24.745216,3.90000009536743,"STILL",69,"IN_VEHICLE",31,"UNKNOWN",0
"2016-08-26 09:00:26.435",5,60.193157,24.767586,5,"WALKING",85,"ON_BICYCLE",15,"UNKNOWN",0
"2016-08-26 09:00:26.801",1,60.166148,24.700991,3,"WALKING",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:00:36.445",5,60.193295,24.767712,5,"WALKING",62,"ON_BICYCLE",31,"RUNNING",8
"2016-08-26 09:00:36.824",1,60.166051,24.701274,3,"WALKING",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:00:47.449",5,60.193449,24.767785,5,"WALKING",85,"ON_BICYCLE",15,"UNKNOWN",0
"2016-08-26 09:00:47.816",1,60.16594,24.701485,3,"WALKING",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:00:51.765",3,60.153052,24.745239,5,"STILL",92,"IN_VEHICLE",8,"UNKNOWN",0
"2016-08-26 09:00:57.832",1,60.165816,24.701674,3,"WALKING",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:00:58.441",5,60.193599,24.767977,5,"WALKING",85,"ON_BICYCLE",15,"UNKNOWN",0
"2016-08-26 09:01:08.447",5,60.193714,24.768133,5,"WALKING",60,"ON_BICYCLE",35,"RUNNING",6
"2016-08-26 09:01:08.84",1,60.165675,24.7019,3,"WALKING",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:01:13.558",3,60.153038,24.745336,5,"STILL",85,"IN_VEHICLE",15,"UNKNOWN",0
"2016-08-26 09:01:18.453",5,60.193813,24.768297,5,"WALKING",85,"ON_BICYCLE",15,"UNKNOWN",0
"2016-08-26 09:01:19.813",1,60.165566,24.702011,3,"WALKING",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:01:24.564",3,60.153068,24.745384,4,"STILL",85,"IN_VEHICLE",15,"UNKNOWN",0
"2016-08-26 09:01:29.427",5,60.193913,24.768549,5,"WALKING",77,"ON_BICYCLE",23,"UNKNOWN",0
"2016-08-26 09:01:30.827",1,60.165545,24.701957,3,"WALKING",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:01:39.435",5,60.194008,24.768809,5,"WALKING",77,"ON_BICYCLE",23,"UNKNOWN",0
"2016-08-26 09:01:40.826",1,60.165492,24.701781,3,"UNKNOWN",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:01:44.589",3,60.153151,24.745645,6,"STILL",44,"UNKNOWN",33,"IN_VEHICLE",23
"2016-08-26 09:01:49.451",5,60.194079,24.76903,5,"WALKING",77,"ON_BICYCLE",23,"UNKNOWN",0
"2016-08-26 09:01:51.816",1,60.165383,24.701674,3,"UNKNOWN",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:01:55.524",3,60.153462,24.746622,3.90000009536743,"IN_VEHICLE",82,"STILL",10,"WALKING",5
