device_id,st_entrance,st_entry_time,line_type,line_name,vehicle_dep_time,vehicle_dep_stop,vehicle_arr_time, vehicle_arr_stop,st_exit_location,st_exit_time ,comments
1,,"2016-08-26 09:02:00",BUS,154,"2016-08-26 09:07:00",Niittyrinne,"2016-08-26 09:23:00",Ruoholahti (Länsiväylä),,,
1,Ruoholahti A,"2016-08-26 09:25:00",SUBWAY,V,"2016-08-26 09:31:00",Ruoholahti(M),"2016-08-26 09:35:00",Helsingin Yliopisto(M),HY B (Vilhonkatu),"2016-08-26 09:38:00",
1,,,TRAM,3,"2016-08-26 09:41:00",Kaisaniemenpuisto,"2016-08-26 09:44:00",Hakaniemi,,,
1,Hakaniemi D (Ratikat),"2016-08-26 09:45:00",SUBWAY,,"2016-08-26 09:48:00",Hakaniemi(M),"2016-08-26 09:51:00",Rautatientori,Rautatientori A (Asema-aukio),"2016-08-26 09:54:00",
1,,,TRAIN,E,"2016-08-26 09:57:00",Rautatieasema,"2016-08-26 10:01:00",Pasila,Pasilan silta,"2016-08-26 10:03:00",
1,,,TRAM,7A,"2016-08-26 10:06:00",Pasilan asema (Ratapihantie),"2016-08-26 10:19:00",Sörnäinen,,,
1,Sörnäinen E,"2016-08-26 10:22:00",SUBWAY,,"2016-08-26 10:28:00",Sörnäinen(M),"2016-08-26 10:35:00",Siilitie(M),,"2016-08-26 10:37:00",
1,Siilitie,"2016-08-26 10:41:00",SUBWAY,V,"2016-08-26 10:46:00",Siilitie(M),"2016-08-26 10:52:00",Rastila(M),Rikisilta,"2016-08-26 10:53:00",
1,Rastila,"2016-08-26 10:58:00",SUBWAY,,"2016-08-26 11:01:00",Rastila(M),"2016-08-26 11:06:00",Itäkeskus(M),,,Transfer
1,,,SUBWAY,M,"2016-08-26 11:15:00",Itäkeskus(M),"2016-08-26 11:19:00",Kontula(M),Emännänpolku,"2016-08-26 11:20:00",
1,Emännänpolku,"2016-08-26 10:39:00",SUBWAY,M,"2016-08-26 11:47:00",Kontula(M),"2016-08-26 11:45:00",Mellunmäki(M),Mellunmäki B (Korvatunturintie),"2016-08-26 11:45:00",
1,Mellunmäki B (Korvatunturintie),"2016-08-26 11:53:00",SUBWAY,,"2016-08-26 11:56:00",Mellunmäki(M),"2016-08-26 12:01:00",Itäkeskus(M),Itäkeskus C (Tallinnanaukio),"2016-08-26 12:02:00",
1,Itäkeskus C (Tallinnanaukio),"2016-08-26 13:13:00",SUBWAY,,"2016-08-26 13:14:00",Itäkeskus(M),"2016-08-26 13:30:00",Kamppi(M),"Kamppi C, (Freda)","2016-08-26 13:34:00",
1,,,TRAM,9,"2016-08-26 13:43:00",Kampintori,"2016-08-26 13:52:00",Kaisaniemenkatu,,,
1,HY A ,"2016-08-26 13:53:00",SUBWAY,,"2016-08-26 13:58:00",Helsingin Yliopisto(M),"2016-08-26 14:04:00",Kulosaari(M),,"2016-08-26 14:06:00",
1,,"2016-08-26 14:16:00",SUBWAY,,"2016-08-26 14:18:00",Kulosaari(M),"2016-08-26 14:30:00",Vuosaari(M),,"2016-08-26 14:31:00",
1,,"2016-08-26 14:37:00",SUBWAY,,"2016-08-26 14:38:00",Vuosaari(M),"2016-08-26 14:51:00",Herttoniemi(M),Herttoniemi A,"2016-08-26 14:52:00",
1,Herttoniemi A,"2016-08-26 14:54:00",SUBWAY,,"2016-08-26 14:57:00",Herttoniemi(M),"2016-08-26 15:05:00",Kontula(M),Kontulankaari,"2016-08-26 15:06:00",
1,Kontulankaari,"2016-08-26 15:22:00",SUBWAY,,"2016-08-26 15:24:00",Kontula(M),"2016-08-26 15:26:00",Myllypuro(M),Myllypuro A,"2016-08-26 15:28:00",
1,Myllypuro A,"2016-08-26 15:32:00",SUBWAY,,"2016-08-26 15:36:00",Myllypuro(M),"2016-08-26 15:55:00",Kamppi(M),,,
1,,,BUS,156,"2016-08-26 15:59:00",Kamppi,"2016-08-26 16:20:00",Niittyrinne,,,
2,,,BUS,103T,"2016-08-26 10:38:51",E2226 Alvar Aallon puisto,"2016-08-26 10:54:27",1014 Länsiväylä,,,
2,,"2016-08-26 10:59:00",SUBWAY,To east,"2016-08-26 11:04:00",Ruoholahti(M),"2016-08-26 11:06:33",Rautatientori,,"2016-08-26 11:08:56",St.entry and vehicle dep.time are estimates
2,,"2016-08-26 11:24:29",SUBWAY,To east,"2016-08-26 11:26:18",Rautatientori,"2016-08-26 11:50:00",Vuosaari(M),,,"Vehicle stop time is estimate, I never exited station but boarded metro to opposite direction"
2,,,SUBWAY,To west,"2016-08-26 11:50:44",Vuosaari(M),"2016-08-26 11:58:40",Itäkeskus(M),,"2016-08-26 12:00:58",I never entered station but boarded from another metro
2,,"2016-08-26 13:13:23",SUBWAY,To west,"2016-08-26 13:14:34",Itäkeskus(M),"2016-08-26 13:30:03",Kamppi(M),,,
2,,,BUS,103T,"2016-08-26 13:34:35","1242 Kamppi (Espoon terminaali), Laituri 42","2016-08-26 13:55:33",E2229 Alvar Aallon puisto ,,,
2,,,CAR,,"2016-08-26 14:46:30","Konemiehentie 2, Espoo","2016-08-26 15:17:00","Tahkotie 1, 01530 Vantaa",,,I didn't log any details about car trip
2,,,CAR,,"2016-08-26 15:21:00","Tahkotie 1, 01530 Vantaa","2016-08-26 15:31:00",Vantaankoski train station,,,I didn't log any details about car trip
2,,,TRAIN,I,"2016-08-26 15:39:47",Vantaankoski,"2016-08-26 15:51:57",Huopalahti,,,"I actually didn't exit at Huopalahti but marked it as an exit when at that station (did it because Helsinki exit, my true destination, would have been after 16:00)"
3,Sepetlahdentie,"2016-08-26 09:01:18",CAR,,"2016-08-26 09:01:18",Sepetlahdentie,"2016-08-26 09:13:54",Konemiehentie 2,Konemiehentie 2,"2016-08-26 09:13:54",
