device_id,time_start,time_end,activity,km,dir,min,km/h,points,ol_line_type,ol_line_name,nl_line_type,nl_line_name,st_line_type,st_line_name
126,"2016-08-26 09:04:30","2016-08-26 09:06:22",ON_BICYCLE,0,S,2,0,8,,,,,,
126,"2016-08-26 09:07:13","2016-08-26 09:23:32",IN_VEHICLE,12,E,16,43,85,,,,,BUS,154
126,"2016-08-26 09:24:13","2016-08-26 09:28:27",WALKING,0,S,4,1,13,,,,,,
126,"2016-08-26 09:31:44","2016-08-26 09:36:37",IN_VEHICLE,0,E,5,4,14,,,,,,
126,"2016-08-26 09:37:07","2016-08-26 09:40:36",WALKING,0,N,3,4,15,,,,,,
126,"2016-08-26 09:40:58","2016-08-26 09:44:59",IN_VEHICLE,1,N,4,9,20,TRAM,3,TRAM,3,TRAM,3
126,"2016-08-26 09:45:10","2016-08-26 09:48:09",WALKING,0,N,3,5,8,,,,,,
126,"2016-08-26 09:49:19","2016-08-26 09:54:48",IN_VEHICLE,1,SW,5,12,17,SUBWAY,V,,,,
126,"2016-08-26 09:55:09","2016-08-26 09:57:17",WALKING,0,N,2,6,13,,,,,,
126,"2016-08-26 09:57:28","2016-08-26 10:02:10",IN_VEHICLE,3,N,5,38,17,,,,,TRAIN,E
126,"2016-08-26 10:02:51","2016-08-26 10:07:13",WALKING,0,NE,4,2,22,,,,,,
126,"2016-08-26 10:07:24","2016-08-26 10:13:23",IN_VEHICLE,1,SE,6,11,29,TRAM,7A,TRAM,7A,TRAM,7A
126,"2016-08-26 10:13:34","2016-08-26 10:14:56",ON_BICYCLE,0,SE,1,11,7,,,,,,
126,"2016-08-26 10:15:37","2016-08-26 10:20:11",IN_VEHICLE,1,SE,5,11,21,TRAM,7A,TRAM,7A,TRAM,7A
126,"2016-08-26 10:20:22","2016-08-26 10:22:41",WALKING,0,SW,2,2,11,,,,,,
126,"2016-08-26 10:23:23","2016-08-26 10:26:32",ON_BICYCLE,0,E,3,4,6,,,,,,
126,"2016-08-26 10:28:00","2016-08-26 10:37:33",IN_VEHICLE,5,NE,10,31,45,,,,,BUS,58
126,"2016-08-26 10:37:43","2016-08-26 10:43:10",WALKING,0,SE,5,1,21,,,,,,
126,"2016-08-26 10:43:41","2016-08-26 10:52:45",IN_VEHICLE,4,E,9,29,23,,,SUBWAY,V,SUBWAY,Ruoholahti - Vuosaari
126,"2016-08-26 10:52:56","2016-08-26 11:00:30",WALKING,0,W,8,1,34,,,,,,
126,"2016-08-26 11:01:12","2016-08-26 11:09:28",IN_VEHICLE,2,W,8,18,16,SUBWAY,M,SUBWAY,V,SUBWAY,Ruoholahti - Vuosaari
126,"2016-08-26 11:16:07","2016-08-26 11:20:23",IN_VEHICLE,2,N,4,32,18,SUBWAY,M,SUBWAY,M,,
126,"2016-08-26 11:20:43","2016-08-26 11:39:35",WALKING,0,SW,19,0,100,,,,,,
126,"2016-08-26 11:40:36","2016-08-26 11:46:04",IN_VEHICLE,2,E,5,19,14,,,,,,
126,"2016-08-26 11:46:15","2016-08-26 11:54:52",WALKING,0,SW,9,1,45,,,,,,
126,"2016-08-26 11:55:14","2016-08-26 12:02:53",IN_VEHICLE,4,SW,8,28,27,,,,,SUBWAY,Ruoholahti - Mellunmäki
126,"2016-08-26 12:03:04","2016-08-26 12:06:48",WALKING,0,E,4,1,12,,,,,,
126,"2016-08-26 13:11:37","2016-08-26 13:13:11",WALKING,0,W,2,3,9,,,,,,
126,"2016-08-26 13:13:31","2016-08-26 13:30:27",IN_VEHICLE,10,SW,17,34,39,,,SUBWAY,V,SUBWAY,Ruoholahti - Vuosaari
126,"2016-08-26 13:31:42","2016-08-26 13:38:27",WALKING,0,SW,7,2,21,,,,,,
126,"2016-08-26 13:41:40","2016-08-26 13:46:33",ON_BICYCLE,0,NE,5,4,17,,,,,,
126,"2016-08-26 13:46:54","2016-08-26 14:05:12",IN_VEHICLE,4,NE,18,15,53,,,,,,
126,"2016-08-26 14:05:23","2016-08-26 14:17:21",WALKING,0,N,12,0,55,,,,,,
126,"2016-08-26 14:17:32","2016-08-26 14:22:30",IN_VEHICLE,3,NE,5,38,17,SUBWAY,V,SUBWAY,V,,
126,"2016-08-26 14:22:41","2016-08-26 14:26:37",ON_BICYCLE,2,E,4,35,14,,,,,,
126,"2016-08-26 14:27:18","2016-08-26 14:31:15",IN_VEHICLE,2,E,4,30,21,,,SUBWAY,V,,
126,"2016-08-26 14:31:25","2016-08-26 14:39:23",WALKING,0,E,8,0,44,,,,,,
126,"2016-08-26 14:39:54","2016-08-26 14:51:15",IN_VEHICLE,6,W,11,33,25,SUBWAY,V,SUBWAY,V,SUBWAY,Ruoholahti - Vuosaari
126,"2016-08-26 14:51:37","2016-08-26 14:56:14",WALKING,0,N,5,1,19,,,,,,
126,"2016-08-26 14:56:47","2016-08-26 15:06:45",IN_VEHICLE,5,NE,10,33,50,,,SUBWAY,V,SUBWAY,Kamppi - Mellunmäki
126,"2016-08-26 15:06:55","2016-08-26 15:23:42",WALKING,0,S,17,0,88,,,,,,
126,"2016-08-26 15:24:38","2016-08-26 15:28:24",IN_VEHICLE,1,S,4,21,19,,,,,SUBWAY,Kamppi - Mellunmäki
126,"2016-08-26 15:28:34","2016-08-26 15:34:33",WALKING,0,N,6,1,33,,,,,,
126,"2016-08-26 15:36:27","2016-08-26 15:42:17",IN_VEHICLE,3,SW,6,35,19,,,SUBWAY,M,,
126,"2016-08-26 15:42:27","2016-08-26 15:48:05",ON_BICYCLE,4,W,6,44,28,,,,,,
126,"2016-08-26 15:50:21","2016-08-26 16:18:46",IN_VEHICLE,14,W,28,29,112,,,,,,
128,"2016-08-26 10:21:19","2016-08-26 10:37:59",WALKING,1,SE,17,2,45,,,,,,
128,"2016-08-26 10:38:31","2016-08-26 10:54:14",IN_VEHICLE,5,SE,16,20,78,,,,,BUS,103T
128,"2016-08-26 10:54:46","2016-08-26 10:58:32",WALKING,0,S,4,1,6,,,,,,
128,"2016-08-26 11:04:13","2016-08-26 11:12:20",IN_VEHICLE,0,N,8,0,14,,,,,,
128,"2016-08-26 11:22:41","2016-08-26 11:58:31",IN_VEHICLE,9,NE,36,15,83,,,,,,
128,"2016-08-26 11:59:01","2016-08-26 12:07:24",WALKING,0,E,8,1,17,,,,,,
128,"2016-08-26 13:07:44","2016-08-26 13:13:51",WALKING,0,E,6,1,13,,,,,,
128,"2016-08-26 13:14:01","2016-08-26 13:31:34",IN_VEHICLE,9,SW,18,32,45,,,SUBWAY,V,SUBWAY,Ruoholahti - Vuosaari
128,"2016-08-26 13:32:04","2016-08-26 13:35:23",ON_BICYCLE,0,SW,3,1,7,,,,,,
128,"2016-08-26 13:36:52","2016-08-26 13:55:10",IN_VEHICLE,6,W,18,20,89,,,,,BUS,103T
128,"2016-08-26 13:55:32","2016-08-26 14:03:26",WALKING,0,NW,8,4,35,,,,,,
128,"2016-08-26 14:45:24","2016-08-26 14:46:47",WALKING,0,E,1,4,8,,,,,,
128,"2016-08-26 14:46:58","2016-08-26 15:18:02",IN_VEHICLE,14,N,31,27,159,,,,,,
128,"2016-08-26 15:19:12","2016-08-26 15:20:56",ON_BICYCLE,0,NE,2,1,8,,,,,,
128,"2016-08-26 15:21:16","2016-08-26 15:31:31",IN_VEHICLE,4,SW,10,23,56,,,,,,
128,"2016-08-26 15:31:41","2016-08-26 15:33:07",WALKING,0,N,1,2,7,,,,,,
